system:index,CBI,def,dmirbi,dndvi,lat,post_mirbi,rbr,unique_id,.geo
00000000000000001d9b,1.58,148.0,64.0,-54.0,30.0,2961.0,11.0,5043.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d9c,1.35,148.0,81.0,-74.0,30.0,3001.0,-35.0,5044.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d9f,1.35,148.0,49.0,-79.0,30.0,2940.0,-2.0,5047.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001da4,1.52,148.0,56.0,-64.0,30.0,2929.0,20.0,5052.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001da5,1.21,148.0,87.0,-71.0,30.0,3067.0,-12.0,5053.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001da6,1.51,148.0,74.0,-30.0,30.0,2964.0,30.0,5054.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001da7,1.52,148.0,139.0,-24.0,30.0,2967.0,33.0,5055.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001da8,1.29,148.0,21.0,-82.0,30.0,3034.0,-44.0,5056.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001da9,1.23,148.0,47.0,-55.0,30.0,3018.0,-21.0,5057.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001daa,1.49,148.0,53.0,-26.0,30.0,3036.0,27.0,5058.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dab,1.08,148.0,-2.0,-60.0,30.0,3035.0,-5.0,5059.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dac,1.68,148.0,75.0,-43.0,30.0,3042.0,17.0,5060.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dad,1.54,148.0,70.0,-41.0,30.0,2979.0,14.0,5061.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001db0,1.33,141.0,152.0,-52.0,30.0,2788.0,-43.0,5064.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001df6,0.84,141.0,156.0,124.0,30.0,2951.0,40.0,5134.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d49,1.47,142.0,146.0,-40.0,30.0,2853.0,0.0,4961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d4a,1.73,142.0,35.0,59.0,30.0,3108.0,99.0,4962.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d4b,1.9,142.0,21.0,-4.0,30.0,2928.0,47.0,4963.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d4c,1.66,142.0,53.0,10.0,30.0,2918.0,56.0,4964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d4d,1.07,142.0,37.0,17.0,30.0,3066.0,65.0,4965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d53,1.46,142.0,-100.0,-17.0,30.0,3004.0,10.0,4971.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d54,1.6,142.0,-2.0,-23.0,30.0,2900.0,-16.0,4972.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d55,1.03,142.0,-30.0,-19.0,30.0,3011.0,12.0,4973.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d56,1.54,142.0,39.0,-13.0,30.0,2908.0,38.0,4974.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d57,1.02,142.0,114.0,-10.0,30.0,3130.0,24.0,4975.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d5e,1.72,142.0,19.0,-42.0,30.0,3006.0,16.0,4982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d5f,1.66,142.0,-31.0,-67.0,30.0,2887.0,-9.0,4983.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d60,1.69,142.0,-9.0,-22.0,30.0,2811.0,0.0,4984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d61,1.44,142.0,-25.0,-38.0,30.0,2870.0,5.0,4985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d6a,1.25,142.0,-122.0,12.0,30.0,3023.0,64.0,4994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d6b,1.27,142.0,-38.0,21.0,30.0,2992.0,47.0,4995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d6c,1.36,142.0,18.0,-31.0,30.0,2837.0,-1.0,4996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d6d,1.31,142.0,13.0,-13.0,30.0,2804.0,-1.0,4997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d6e,1.12,142.0,13.0,-31.0,30.0,2887.0,19.0,4998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d6f,1.15,142.0,188.0,-50.0,30.0,2918.0,21.0,4999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d70,1.34,142.0,119.0,-14.0,30.0,2977.0,33.0,5000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d71,1.25,142.0,77.0,-5.0,30.0,2897.0,61.0,5001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d72,1.1,142.0,173.0,3.0,30.0,2910.0,45.0,5002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d73,0.98,142.0,84.0,-48.0,30.0,2893.0,-13.0,5003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d74,0.71,142.0,33.0,-47.0,30.0,2958.0,-9.0,5004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001db1,1.45,142.0,114.0,69.0,30.0,3074.0,71.0,5065.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001db2,1.77,142.0,73.0,119.0,30.0,2945.0,147.0,5066.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001db3,1.79,142.0,87.0,103.0,30.0,3038.0,105.0,5067.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001db4,1.43,142.0,34.0,81.0,30.0,2904.0,168.0,5068.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001db5,1.45,142.0,90.0,146.0,30.0,3014.0,131.0,5069.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
